date,id,open,high,low,close,volume,sector,source
1/2/2020,ACB,6.58,6.64,6.55,6.64,1163109,Banking,TCBS
1/3/2020,ACB,6.64,6.7,6.61,6.64,1055528,Banking,TCBS
1/6/2020,ACB,6.64,6.64,6.49,6.49,1286035,Banking,TCBS
1/7/2020,ACB,6.49,6.55,6.49,6.49,1050934,Banking,TCBS
1/8/2020,ACB,6.49,6.49,6.35,6.38,2304937,Banking,TCBS
1/9/2020,ACB,6.41,6.52,6.41,6.46,1422248,Banking,TCBS
1/10/2020,ACB,6.49,6.67,6.49,6.55,2371501,Banking,TCBS
1/13/2020,ACB,6.61,6.61,6.55,6.61,1523181,Banking,TCBS
1/14/2020,ACB,6.61,6.78,6.61,6.78,2851982,Banking,TCBS
1/15/2020,ACB,6.78,6.78,6.7,6.72,1158657,Banking,TCBS
1/16/2020,ACB,6.72,6.93,6.72,6.9,2819687,Banking,TCBS
1/17/2020,ACB,6.93,6.96,6.84,6.87,2706194,Banking,TCBS
1/20/2020,ACB,6.87,7.13,6.87,7.01,4443379,Banking,TCBS
1/21/2020,ACB,7.07,7.13,7.01,7.07,1775816,Banking,TCBS
1/22/2020,ACB,7.1,7.1,7.01,7.07,1574379,Banking,TCBS
1/30/2020,ACB,6.98,7.01,6.7,6.81,4250097,Banking,TCBS
1/31/2020,ACB,6.78,6.87,6.61,6.64,4243264,Banking,TCBS
2/3/2020,ACB,6.44,6.64,6.26,6.52,4430186,Banking,TCBS
2/4/2020,ACB,6.61,6.7,6.49,6.7,2397062,Banking,TCBS
2/5/2020,ACB,6.75,6.78,6.61,6.64,2790275,Banking,TCBS
2/6/2020,ACB,6.67,6.93,6.64,6.93,2980981,Banking,TCBS
2/7/2020,ACB,6.93,6.96,6.81,6.87,2007251,Banking,TCBS
2/10/2020,ACB,6.87,6.9,6.75,6.81,1271190,Banking,TCBS
2/11/2020,ACB,6.81,6.87,6.78,6.84,1862090,Banking,TCBS
2/12/2020,ACB,6.87,7.42,6.87,7.39,10516207,Banking,TCBS
2/13/2020,ACB,7.39,7.42,7.24,7.36,3773365,Banking,TCBS
2/14/2020,ACB,7.36,7.73,7.36,7.62,8018099,Banking,TCBS
2/17/2020,ACB,7.59,7.7,7.5,7.62,3764464,Banking,TCBS
2/18/2020,ACB,7.62,7.82,7.59,7.68,6293208,Banking,TCBS
2/19/2020,ACB,7.65,7.7,7.48,7.59,5091969,Banking,TCBS
2/20/2020,ACB,7.59,7.79,7.53,7.62,5578717,Banking,TCBS
2/21/2020,ACB,7.19,7.68,7.19,7.42,6333926,Banking,TCBS
2/24/2020,ACB,7.36,7.39,6.87,6.93,10321149,Banking,TCBS
2/25/2020,ACB,6.78,7.24,6.67,7.24,8279866,Banking,TCBS
2/26/2020,ACB,7.22,7.24,7.01,7.1,4519324,Banking,TCBS
2/27/2020,ACB,6.98,7.36,6.98,7.36,5309790,Banking,TCBS
2/28/2020,ACB,6.64,7.3,6.64,7.27,5959642,Banking,TCBS
3/2/2020,ACB,7.04,7.36,7.04,7.27,3629494,Banking,TCBS
3/3/2020,ACB,7.39,7.48,7.3,7.39,6364207,Banking,TCBS
3/4/2020,ACB,7.39,7.45,7.3,7.45,5047583,Banking,TCBS
3/5/2020,ACB,7.5,7.62,7.33,7.39,5965022,Banking,TCBS
3/6/2020,ACB,7.36,7.36,7.24,7.3,3959935,Banking,TCBS
3/9/2020,ACB,7.13,7.13,6.64,6.72,16776046,Banking,TCBS
3/10/2020,ACB,6.64,7.16,6.61,6.98,7582331,Banking,TCBS
3/11/2020,ACB,7.01,7.04,6.64,6.75,7841324,Banking,TCBS
3/12/2020,ACB,6.64,6.64,6.2,6.38,11082125,Banking,TCBS
3/13/2020,ACB,6.2,6.49,5.92,6.35,9020091,Banking,TCBS
3/16/2020,ACB,6.35,6.44,5.97,6.03,4614344,Banking,TCBS
3/17/2020,ACB,6,6.18,5.8,6.09,6568088,Banking,TCBS
3/18/2020,ACB,6.15,6.23,6.03,6.12,4944595,Banking,TCBS
3/19/2020,ACB,6.06,6.15,5.97,6.09,4083896,Banking,TCBS
3/20/2020,ACB,6.7,6.7,6.06,6.18,3341564,Banking,TCBS
3/23/2020,ACB,6.12,6.18,5.57,5.57,10024177,Banking,TCBS
3/24/2020,ACB,5.51,5.74,5.51,5.66,4315784,Banking,TCBS
3/25/2020,ACB,5.77,6,5.77,5.92,4115341,Banking,TCBS
3/26/2020,ACB,5.94,5.94,5.68,5.68,3631529,Banking,TCBS
3/27/2020,ACB,5.68,5.8,5.63,5.68,3980631,Banking,TCBS
3/30/2020,ACB,5.63,5.63,5.17,5.25,5925098,Banking,TCBS
3/31/2020,ACB,5.25,5.43,5.02,5.14,4532153,Banking,TCBS
4/1/2020,ACB,4.65,5.48,4.65,5.37,2761168,Banking,TCBS
4/3/2020,ACB,5.22,5.6,5.22,5.51,3574343,Banking,TCBS
4/6/2020,ACB,5.6,6,5.51,5.94,5757259,Banking,TCBS
4/7/2020,ACB,6.06,6.06,5.77,5.86,4467621,Banking,TCBS
4/8/2020,ACB,6.44,6.44,5.68,5.83,2331536,Banking,TCBS
4/9/2020,ACB,6.41,6.41,5.77,5.77,4068966,Banking,TCBS
4/10/2020,ACB,5.48,5.83,5.48,5.71,2517477,Banking,TCBS
4/13/2020,ACB,5.17,5.89,5.17,5.77,1926793,Banking,TCBS
4/14/2020,ACB,5.77,5.83,5.68,5.77,3167293,Banking,TCBS
4/15/2020,ACB,5.77,5.97,5.77,5.83,3686239,Banking,TCBS
4/16/2020,ACB,5.83,5.89,5.8,5.89,1895213,Banking,TCBS
4/17/2020,ACB,5.92,6.09,5.92,6.06,4809341,Banking,TCBS
4/20/2020,ACB,6.12,6.12,5.94,5.97,3064104,Banking,TCBS
4/21/2020,ACB,5.94,5.94,5.68,5.71,6015799,Banking,TCBS
4/22/2020,ACB,5.71,5.89,5.6,5.89,2637424,Banking,TCBS
4/23/2020,ACB,5.92,6,5.86,5.86,2076603,Banking,TCBS
4/24/2020,ACB,5.83,5.89,5.77,5.86,1264729,Banking,TCBS
4/27/2020,ACB,5.86,5.94,5.77,5.8,1806851,Banking,TCBS
4/28/2020,ACB,5.8,5.89,5.77,5.86,1246915,Banking,TCBS
4/29/2020,ACB,5.86,5.92,5.83,5.92,1196049,Banking,TCBS
5/4/2020,ACB,5.92,5.92,5.8,5.86,1193939,Banking,TCBS
5/5/2020,ACB,5.83,5.89,5.83,5.86,1126770,Banking,TCBS
5/6/2020,ACB,5.89,6.12,5.83,6,4453036,Banking,TCBS
5/7/2020,ACB,6.03,6.12,6,6.12,2973997,Banking,TCBS
5/8/2020,ACB,6.15,6.32,6.06,6.18,5995918,Banking,TCBS
5/11/2020,ACB,6.32,6.32,6.18,6.26,4108808,Banking,TCBS
5/12/2020,ACB,6.26,6.35,6.18,6.29,4057939,Banking,TCBS
5/13/2020,ACB,6.35,6.35,6.2,6.26,3453900,Banking,TCBS
5/14/2020,ACB,6.26,6.29,6.18,6.18,3827622,Banking,TCBS
5/15/2020,ACB,6.2,6.41,6.18,6.26,6937907,Banking,TCBS
5/18/2020,ACB,6.32,6.32,6.18,6.29,2771622,Banking,TCBS
5/19/2020,ACB,6.35,6.49,6.35,6.41,5561531,Banking,TCBS
5/20/2020,ACB,6.38,6.46,6.35,6.41,3116422,Banking,TCBS
5/21/2020,ACB,6.41,6.55,6.32,6.46,4622625,Banking,TCBS
5/22/2020,ACB,6.49,6.55,6.44,6.46,4841440,Banking,TCBS
5/25/2020,ACB,6.49,6.55,6.44,6.52,3519682,Banking,TCBS
5/26/2020,ACB,6.49,6.78,6.49,6.72,5267006,Banking,TCBS
5/27/2020,ACB,6.78,6.84,6.58,6.58,6389497,Banking,TCBS
5/28/2020,ACB,6.58,6.7,6.58,6.61,3568932,Banking,TCBS
5/29/2020,ACB,6.61,6.64,6.55,6.61,2394358,Banking,TCBS
6/1/2020,ACB,6.64,7.24,6.61,7.24,13859688,Banking,TCBS
6/2/2020,ACB,7.36,7.65,7.16,7.16,10935462,Banking,TCBS
6/3/2020,ACB,7.16,7.36,7.16,7.36,3758964,Banking,TCBS
6/4/2020,ACB,7.39,7.42,7.27,7.3,5159832,Banking,TCBS
6/5/2020,ACB,7.33,7.33,7.19,7.27,4025847,Banking,TCBS
6/8/2020,ACB,7.27,7.5,7.27,7.33,6087882,Banking,TCBS
6/9/2020,ACB,7.36,7.39,7.27,7.36,3531851,Banking,TCBS
6/10/2020,ACB,7.36,7.48,7.27,7.39,6494275,Banking,TCBS
6/11/2020,ACB,7.39,7.45,7.04,7.07,9172138,Banking,TCBS
6/12/2020,ACB,6.93,7.07,6.75,7.07,6648375,Banking,TCBS
6/15/2020,ACB,7.13,7.13,6.7,6.72,5885937,Banking,TCBS
6/16/2020,ACB,6.81,6.98,6.81,6.87,4198360,Banking,TCBS
6/17/2020,ACB,7.01,7.01,6.78,6.84,1599340,Banking,TCBS
6/18/2020,ACB,6.84,6.9,6.75,6.87,1301526,Banking,TCBS
6/19/2020,ACB,6.87,7.07,6.87,7.04,2334941,Banking,TCBS
6/22/2020,ACB,7.04,7.13,6.93,6.96,2256643,Banking,TCBS
6/23/2020,ACB,6.98,7.04,6.9,6.93,3282364,Banking,TCBS
6/24/2020,ACB,6.93,7.01,6.84,6.87,3013466,Banking,TCBS
6/25/2020,ACB,6.84,6.87,6.78,6.84,2500893,Banking,TCBS
6/26/2020,ACB,6.87,6.93,6.81,6.81,1400341,Banking,TCBS
6/29/2020,ACB,6.81,6.81,6.55,6.61,4353272,Banking,TCBS
6/30/2020,ACB,6.64,6.72,6.46,6.58,3585625,Banking,TCBS
7/1/2020,ACB,6.58,6.72,6.58,6.7,1676001,Banking,TCBS
7/2/2020,ACB,6.7,6.75,6.64,6.67,1070089,Banking,TCBS
7/3/2020,ACB,6.7,6.72,6.64,6.64,1271360,Banking,TCBS
7/6/2020,ACB,6.64,6.84,6.64,6.81,3204367,Banking,TCBS
7/7/2020,ACB,6.84,6.93,6.84,6.84,2389942,Banking,TCBS
7/8/2020,ACB,6.81,6.93,6.81,6.9,1647694,Banking,TCBS
7/9/2020,ACB,6.9,7.01,6.9,7.01,2248695,Banking,TCBS
7/10/2020,ACB,7.01,7.04,6.87,6.93,2284971,Banking,TCBS
7/13/2020,ACB,6.96,6.98,6.87,6.9,1840084,Banking,TCBS
7/14/2020,ACB,6.9,6.96,6.84,6.93,1406915,Banking,TCBS
7/15/2020,ACB,6.98,6.98,6.93,6.93,1570073,Banking,TCBS
7/16/2020,ACB,6.98,6.98,6.9,6.93,903322,Banking,TCBS
7/17/2020,ACB,6.96,7.22,6.93,7.16,7890281,Banking,TCBS
7/20/2020,ACB,7.16,7.19,7.07,7.07,2622350,Banking,TCBS
7/21/2020,ACB,7.07,7.1,6.98,7.1,2194410,Banking,TCBS
7/22/2020,ACB,7.1,7.16,6.98,7.04,1726317,Banking,TCBS
7/23/2020,ACB,7.04,7.04,6.93,6.98,1955757,Banking,TCBS
7/24/2020,ACB,7.01,7.01,6.49,6.7,5532575,Banking,TCBS
7/27/2020,ACB,6.03,6.61,6.03,6.29,6240477,Banking,TCBS
7/28/2020,ACB,6.29,6.61,6.2,6.61,2598740,Banking,TCBS
7/29/2020,ACB,6.55,6.58,6.23,6.41,4929532,Banking,TCBS
7/30/2020,ACB,6.26,6.52,6.26,6.52,1914488,Banking,TCBS
7/31/2020,ACB,6.55,6.55,6.38,6.49,2220749,Banking,TCBS
8/3/2020,ACB,6.38,6.7,6.38,6.7,3044620,Banking,TCBS
8/4/2020,ACB,6.72,6.9,6.72,6.84,2907562,Banking,TCBS
8/5/2020,ACB,6.9,7.04,6.84,6.93,5472736,Banking,TCBS
8/6/2020,ACB,6.96,6.96,6.84,6.87,1874899,Banking,TCBS
8/7/2020,ACB,6.9,6.96,6.78,6.84,2150978,Banking,TCBS
8/10/2020,ACB,6.84,6.96,6.84,6.87,2576760,Banking,TCBS
8/11/2020,ACB,6.93,7.33,6.9,7.33,15333430,Banking,TCBS
8/12/2020,ACB,7.45,7.48,7.27,7.33,6091725,Banking,TCBS
8/13/2020,ACB,7.33,7.39,7.3,7.36,3803166,Banking,TCBS
8/14/2020,ACB,7.36,7.36,7.22,7.3,6682494,Banking,TCBS
8/17/2020,ACB,7.3,7.45,7.27,7.45,6222301,Banking,TCBS
8/18/2020,ACB,7.5,7.53,7.39,7.39,4710796,Banking,TCBS
8/19/2020,ACB,7.42,7.45,7.33,7.39,9263369,Banking,TCBS
8/20/2020,ACB,7.73,7.95,7.5,7.8,19475136,Banking,TCBS
8/21/2020,ACB,7.8,7.95,7.73,7.95,7392791,Banking,TCBS
8/24/2020,ACB,7.95,8.07,7.88,7.88,6821518,Banking,TCBS
8/25/2020,ACB,7.88,7.95,7.8,7.92,7801079,Banking,TCBS
8/26/2020,ACB,7.92,7.99,7.84,7.95,6018699,Banking,TCBS
8/27/2020,ACB,7.95,8.07,7.92,8.07,4863627,Banking,TCBS
8/28/2020,ACB,8.1,8.18,7.99,8.03,6947593,Banking,TCBS
8/31/2020,ACB,8.03,8.07,7.92,7.95,7008237,Banking,TCBS
9/1/2020,ACB,7.95,7.99,7.88,7.92,7822064,Banking,TCBS
9/3/2020,ACB,7.92,8.03,7.88,7.95,6080561,Banking,TCBS
9/4/2020,ACB,7.88,7.95,7.8,7.92,4665691,Banking,TCBS
9/7/2020,ACB,7.92,7.95,7.8,7.8,6067374,Banking,TCBS
9/8/2020,ACB,7.8,7.84,7.73,7.73,12273484,Banking,TCBS
9/9/2020,ACB,7.73,7.84,7.62,7.84,5021412,Banking,TCBS
9/10/2020,ACB,7.84,7.95,7.84,7.84,3249267,Banking,TCBS
9/11/2020,ACB,7.84,7.88,7.77,7.8,2350091,Banking,TCBS
9/14/2020,ACB,7.8,7.99,7.8,7.95,5275848,Banking,TCBS
9/15/2020,ACB,7.95,8.03,7.92,7.99,4632880,Banking,TCBS
9/16/2020,ACB,7.95,7.99,7.92,7.95,2194115,Banking,TCBS
9/17/2020,ACB,7.99,8.18,7.92,8.07,12323866,Banking,TCBS
9/18/2020,ACB,8.07,8.14,8.03,8.14,3280690,Banking,TCBS
9/21/2020,ACB,8.18,8.37,8.1,8.25,7244851,Banking,TCBS
9/22/2020,ACB,8.25,8.37,8.14,8.37,8818518,Banking,TCBS
9/23/2020,ACB,8.37,8.55,8.37,8.44,6511427,Banking,TCBS
9/24/2020,ACB,8.4,8.48,8.25,8.33,5599785,Banking,TCBS
9/25/2020,ACB,8.33,8.4,8.22,8.33,6416344,Banking,TCBS
9/28/2020,ACB,8.33,8.55,8.33,8.48,8207740,Banking,TCBS
9/29/2020,ACB,8.52,8.55,8.37,8.4,5923046,Banking,TCBS
9/30/2020,ACB,8.4,8.44,8.33,8.44,3624221,Banking,TCBS
10/1/2020,ACB,8.37,8.55,8.33,8.44,6510267,Banking,TCBS
10/2/2020,ACB,8.4,8.82,8.4,8.63,23518516,Banking,TCBS
10/5/2020,ACB,8.63,8.85,8.59,8.85,12875000,Banking,TCBS
10/6/2020,ACB,8.85,9.08,8.85,9,10965000,Banking,TCBS
10/7/2020,ACB,9,9.04,8.74,8.78,17681800,Banking,TCBS
10/8/2020,ACB,8.7,8.89,8.63,8.7,13890500,Banking,TCBS
10/9/2020,ACB,8.7,8.93,8.67,8.82,8717300,Banking,TCBS
10/12/2020,ACB,8.89,8.93,8.74,8.74,8642000,Banking,TCBS
10/13/2020,ACB,8.78,8.78,8.67,8.78,5319900,Banking,TCBS
10/14/2020,ACB,8.82,9.04,8.78,9,20284500,Banking,TCBS
10/15/2020,ACB,9,9.3,8.97,9.19,16334800,Banking,TCBS
10/16/2020,ACB,9.19,9.38,9.08,9.27,8711000,Banking,TCBS
10/19/2020,ACB,9.38,9.64,9.34,9.49,14148600,Banking,TCBS
10/20/2020,ACB,9.53,9.6,9.38,9.49,11356300,Banking,TCBS
10/21/2020,ACB,9.53,9.6,9.46,9.46,8864800,Banking,TCBS
10/22/2020,ACB,9.49,9.76,9.38,9.6,9439500,Banking,TCBS
10/23/2020,ACB,9.68,9.72,9.57,9.6,8023000,Banking,TCBS
10/26/2020,ACB,9.6,9.68,9.3,9.3,11660700,Banking,TCBS
10/27/2020,ACB,9.27,9.34,9.15,9.15,11720500,Banking,TCBS
10/28/2020,ACB,9.15,9.19,8.89,8.93,14911600,Banking,TCBS
10/29/2020,ACB,8.85,9.12,8.7,8.97,8510000,Banking,TCBS
10/30/2020,ACB,9.04,9.12,8.93,9.04,4392700,Banking,TCBS
11/2/2020,ACB,9.08,9.19,9,9.19,3775100,Banking,TCBS
11/3/2020,ACB,9.19,9.46,9.19,9.38,7704400,Banking,TCBS
